Country,date,daily_cases,cumulative_cases,latitude,longitude,Continents,SubRegion,deaths,cumulative_deaths
195,Argentina,2022-02-15,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
196,Argentina,2022-02-16,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
197,Argentina,2022-02-17,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
198,Argentina,2022-02-18,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
199,Argentina,2022-02-19,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
200,Argentina,2022-02-20,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
201,Argentina,2022-02-21,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
202,Argentina,2022-02-22,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
203,Argentina,2022-02-23,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
204,Argentina,2022-02-24,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
205,Argentina,2022-02-25,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
206,Argentina,2022-02-26,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
207,Argentina,2022-02-27,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
208,Argentina,2022-02-28,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
209,Argentina,2022-03-01,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
210,Argentina,2022-03-02,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
211,Argentina,2022-03-03,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
212,Argentina,2022-03-04,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
213,Argentina,2022-03-05,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
214,Argentina,2022-03-06,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
215,Argentina,2022-03-07,0,0,-63.61667199999999,-38.416097,Americas,Latin America and the Caribbean,0,0
