DateRep,CountryExp,CountryCode,Source,ConfCases
2022-05-18,Germany,DE,EI,0
2022-05-18,Greece,EL,TESSy,0
2022-05-18,Hungary,HU,TESSy,0
2022-05-18,Iceland,IS,EI,0
2022-05-18,Ireland,IE,TESSy,0
2022-05-18,Italy,IT,TESSy,0
2022-05-18,Latvia,LV,TESSy,0
2022-05-18,Luxembourg,LU,EI,0
2022-05-18,Malta,MT,TESSy,0
2022-05-18,Netherlands,NL,EI,0
2022-05-18,Norway,NO,TESSy,0
2022-05-18,Poland,PL,TESSy,0
2022-05-18,Portugal,PT,EI,5
2022-05-18,Romania,RO,TESSy,0
2022-05-18,Slovenia,SI,TESSy,0
2022-05-18,Spain,ES,TESSy,8
2022-05-18,Sweden,SE,TESSy,0
2022-05-19,Austria,AT,EI,0
2022-05-19,Belgium,BE,TESSy,2
2022-05-19,Czechia,CZ,TESSy,0
2022-05-19,Denmark,DK,EI,0
2022-05-19,Finland,FI,EI,0
2022-05-19,France,FR,EI,0
2022-05-19,Germany,DE,EI,0
2022-05-19,Greece,EL,TESSy,0
2022-05-19,Hungary,HU,TESSy,0
2022-05-19,Iceland,IS,EI,0
2022-05-19,Ireland,IE,TESSy,0
2022-05-19,Italy,IT,TESSy,0
2022-05-19,Latvia,LV,TESSy,0
2022-05-19,Luxembourg,LU,EI,0
2022-05-19,Malta,MT,TESSy,0
2022-05-19,Netherlands,NL,EI,0
2022-05-19,Norway,NO,TESSy,0
2022-05-19,Poland,PL,TESSy,0
2022-05-19,Portugal,PT,EI,9
2022-05-19,Romania,RO,TESSy,0
2022-05-19,Slovenia,SI,TESSy,0
2022-05-19,Spain,ES,TESSy,16
2022-05-19,Sweden,SE,TESSy,0
2022-05-20,Austria,AT,EI,0
2022-05-20,Belgium,BE,TESSy,1
2022-05-20,Czechia,CZ,TESSy,0
2022-05-20,Denmark,DK,EI,0
2022-05-20,Finland,FI,EI,0
2022-05-20,France,FR,EI,1
2022-05-20,Germany,DE,EI,0
2022-05-20,Greece,EL,TESSy,0
2022-05-20,Hungary,HU,TESSy,0
2022-05-20,Iceland,IS,EI,0
2022-05-20,Ireland,IE,TESSy,0
2022-05-20,Italy,IT,TESSy,1
2022-05-20,Latvia,LV,TESSy,0
2022-05-20,Luxembourg,LU,EI,0
2022-05-20,Malta,MT,TESSy,0
2022-05-20,Netherlands,NL,EI,1
2022-05-20,Norway,NO,TESSy,0
2022-05-20,Poland,PL,TESSy,0
2022-05-20,Portugal,PT,EI,9
2022-05-20,Romania,RO,TESSy,0
2022-05-20,Slovenia,SI,TESSy,0
2022-05-20,Spain,ES,TESSy,11
2022-05-20,Sweden,SE,TESSy,0
2022-05-21,Austria,AT,EI,0
2022-05-21,Belgium,BE,TESSy,0
2022-05-21,Czechia,CZ,TESSy,0
2022-05-21,Denmark,DK,EI,0
2022-05-21,Finland,FI,EI,0
2022-05-21,France,FR,EI,0
2022-05-21,Germany,DE,EI,2
2022-05-21,Greece,EL,TESSy,0
